Uploaded Date,Approved Date,Terms,Carrier,MC #,DOT #,Ref. #,Carrier Inv #,Net Amt Due,Pay By,Payment Status,InvoiceKey,PayeeKey,Invoice Draft Id,AppliedToKey
05/02/23,05/01/23,SP,PANTHER TRANS INC,1090611,3392616,,DDL30325CD,$150.00 ,ACH to CD CONSORTIUM CORPORATION dba CAPITAL DEPOT,Not Started,a134P00000GIyQ2QAL,0014P00004DYBmVQAX,200387,
05/01/23,05/01/23,SP,Jmb Express Trucking LLC,649191,1779969,,24030EGG,$600.00 ,ACH to ENGAGED FINANCIAL,Not Started,a134P00000GIyLfQAL,0014P00003i74XHQAY,200387,
05/01/23,05/01/23,SP,Vgt,859050,2482123,,108374PAR,$750.00 ,"ACH to PARTNERS FUNDING, INC",Not Started,a134P00000GIyLQQA1,0014P0000461auQQAQ,200387,
05/01/23,05/01/23,SP,Jmb Express Trucking LLC,649191,1779969,,24036EGG,"$1,200.00 ",ACH to ENGAGED FINANCIAL,Not Started,a134P00000GIyL6QAL,0014P00003i74XHQAY,200387,
05/01/23,05/01/23,SP,GOODMAN FAMILY TRANSPORT LLC,1344433,3768569,,19247139TRP,"$1,600.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIyKuQAL,0014P00004CwmLUQAZ,200387,
05/01/23,05/01/23,SP,GOODMAN FAMILY TRANSPORT LLC,1344433,3768569,,19247138TRP,"$1,700.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIyKtQAL,0014P00004CwmLUQAZ,200387,
05/01/23,05/01/23,SP,Kargomitten Inc,1329580,3748340,,DDL30171RTS,"$1,100.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIy8dQAD,0014P000047SO7PQAW,200387,
05/01/23,05/01/23,SP,ARGONAUTS LA LLC,1089355,3353181,,19241459TRP,$950.00 ,ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIy8SQAT,0014P00004DZ7rSQAT,200387,
05/01/23,05/01/23,SP,Texas International Enterprises,762399,2196912,,190478RTS,"$4,900.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIyKIQA1,0014P00003i1e8mQAA,200387,
05/01/23,05/01/23,SP,Empire National Inc,966111,2878524,,OTR-11545960,"$1,600.00 ",ACH to OTR SOLUTIONS,Not Started,a134P00000GIyKDQA1,0014P00003iPvmrQAC,200387,
05/01/23,05/01/23,SP,A1 EAGLE TRANSPORTATION LLC,1298791,3706115,,DDL30080TAF,$900.00 ,ACH to TAFS,Not Started,a134P00000GIyK8QAL,0014P00004DWlo3QAD,200387,
05/01/23,05/01/23,SP,Nps Express Inc,854496,2471269,,66632N,"$2,731.50 ",ACH *7619,Not Started,a134P00000GIyK3QAL,0014P00003i74QOQAY,200387,
05/01/23,05/01/23,SP,Texas International Enterprises,762399,2196912,,190487RTS,"$4,900.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIyJyQAL,0014P00003i1e8mQAA,200387,
05/01/23,05/01/23,SP,EZANA TRANSPORTATION LLC,1137892,3473954,,DDL30305EGG,$900.00 ,ACH to ENGAGED FINANCIAL,Not Started,a134P00000GIyJtQAL,0014P00004DegRkQAJ,200387,
05/22/23,05/01/23,SP,Williamson Trucking LLC,1129417,3460531,,F1097,"$1,300.00 ",ACH to LOVE'S FINANCIAL,Not Started,a134P00000GJ21JQAT,0014P00003i74hBQAQ,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30343LC,"$1,810.66 ",ACH *3319,Not Started,a134P00000GIzZOQA1,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30337LC,"$1,343.47 ",ACH *3319,Not Started,a134P00000GIzZ0QAL,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30346LC,"$1,830.75 ",ACH *3319,Not Started,a134P00000GIymxQAD,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30340LC,"$1,063.58 ",ACH *3319,Not Started,a134P00000GIymvQAD,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30335LC,"$1,197.47 ",ACH *3319,Not Started,a134P00000GIymtQAD,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30342LC,"$1,810.66 ",ACH *3319,Not Started,a134P00000GIymwQAD,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30336LC,"$1,343.47 ",ACH *3319,Not Started,a134P00000GIymuQAD,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30332LC,"$1,197.47 ",ACH *3319,Not Started,a134P00000GIymsQAD,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL29920LC,"$1,816.84 ",ACH *3319,Not Started,a134P00000GIymmQAD,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30345LC,"$1,830.75 ",ACH *3319,Not Started,a134P00000GIyL0QAL,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30339LC,"$1,063.58 ",ACH *3319,Not Started,a134P00000GIyKzQAL,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30334LC,"$1,197.47 ",ACH *3319,Not Started,a134P00000GIyKyQAL,0014P00004Alf3FQAR,200387,
05/15/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL29914LC,"$1,348.63 ",ACH *3319,Not Started,a134P00000GIyKsQAL,0014P00004Alf3FQAR,200387,
05/14/23,05/01/23,SP,ROSE'S TRANSPORT INC,332756,725218,,490-138L,"$1,200.00 ",Check,Not Started,a134P00000GJ0ioQAD,0014P00004DZE89QAH,200387,
05/12/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30613LC,"$1,824.57 ",ACH *3319,Not Started,a134P00000GJ0azQAD,0014P00004Alf3FQAR,200387,
05/12/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30607LC,"$1,804.48 ",ACH *3319,Not Started,a134P00000GJ0ayQAD,0014P00004Alf3FQAR,200387,
05/12/23,05/01/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30597LC,"$1,193.44 ",ACH *3319,Not Started,a134P00000GJ0awQAD,0014P00004Alf3FQAR,200387,
05/04/23,05/01/23,SP,NS EXPRESS LLC,823270,2394678,,36274CRS,"$1,000.00 ","ACH to CRESTMARK TPG, LLC",Not Started,a134P00000GIy2MQAT,0014P00004CqmaaQAB,200387,
05/04/23,05/01/23,SP,NS EXPRESS LLC,823270,2394678,,36270CRS,"$1,000.00 ","ACH to CRESTMARK TPG, LLC",Not Started,a134P00000GIy2IQAT,0014P00004CqmaaQAB,200387,
05/04/23,05/01/23,SP,GREEN WAY EXPRESS LLC,652118,1790885,,GE15873,"$1,900.00 ",ACH to ORANGE COMMERCIAL CREDIT,Not Started,a134P00000GIyljQAD,0014P000049oPMBQA2,200387,
05/03/23,05/01/23,SP,Asap Expedite Inc,1279576,3680071,,DDL30018TRU,"$1,200.00 ",ACH to TRU FUNDING LLC,Not Started,a134P00000GIy2RQAT,0014P000044ReyaQAC,200387,
05/03/23,05/01/23,SP,Window Of Opportunity Enterprises LLC,1306507,3716619,,DS5115372,$550.00 ,ACH to TRUCKSTOP FACTORING,Not Started,a134P00000GIyZSQA1,0014P0000484f9rQAA,200387,
05/02/23,05/01/23,SP,AMERICAN SUCCESSFUL TRUCKING LLC,1180541,3538475,,SN20230258,"$2,600.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIySiQAL,0014P00004DXzcZQAT,200387,
05/02/23,05/01/23,SP,GOODMAN FAMILY TRANSPORT LLC,1344433,3768569,,19250259TRP,"$1,700.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIyKrQAL,0014P00004CwmLUQAZ,200387,
05/02/23,05/01/23,SP,Dba Dc-expedite Dba Asl-express,117749,3170286,,OTR-11550042,$875.00 ,ACH to OTR SOLUTIONS,Not Started,a134P00000GIy2GQAT,0014P000048H9vaQAC,200387,
05/02/23,05/02/23,SP,Smg Transportation LLC,1367503,3800165,,DDL29868TAB,"$1,200.00 ",ACH to TAB BANK dba TRANSPORTATION ALLIANCE BANK,Not Started,a134P00000GIyReQAL,0014P00003o1hgRQAQ,200387,
05/02/23,05/02/23,SP,Strictly Van Transportation LLC,729119,2089770,,DDL30182S,$350.00 ,Check,Not Started,a134P00000GIyRZQA1,0014P00003jPt21QAC,200387,
05/02/23,05/02/23,SP,LYH TRANSPORT LLC,1093438,3398441,,19256521TRP,"$4,600.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIyRUQA1,0014P00004CqjGVQAZ,200387,
05/02/23,05/02/23,SP,Go To Logistics Inc,563531,1500245,,638037G,"$1,250.00 ",ACH *5961,Not Started,a134P00000GIyRPQA1,0014P00003i74W1QAI,200387,
