Uploaded Date,Approved Date,Terms,Carrier,MC #,DOT #,Ref. #,Carrier Inv #,Net Amt Due,Pay By,Payment Status,InvoiceKey,PayeeKey,Invoice Draft Id,AppliedToKey
05/02/23,05/02/23,SP,J G Transporter Inc,781556,,,20304JG,"$1,450.00 ",ACH *1733,Not Started,a134P00000GIyKxQAL,0014P00003i7m3HQAQ,200387,
05/02/23,05/02/23,SP,Mrm Express LLC,848046,2455782,,19250898TRP,"$4,200.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Not Started,a134P00000GIyKvQAL,0014P000048YBD3QAO,200387,
05/02/23,05/02/23,SP,Montana Group Of Companies Limited,942399,2824402,,I022144,"$5,500.00 ",Check,Not Started,a134P00000GIxvJQAT,0014P00003i8SYTQA2,200387,
05/02/23,05/02/23,SP,Rolling Trucks LLC,903181,2580074,,DDL30370RTS,"$2,000.00 ","ACH to RTS FINANCIAL SERVICE, INC",Not Started,a134P00000GIyS3QAL,0014P000041FxUyQAK,200387,
05/02/23,05/02/23,SP,Nafta Transportation Services LLC,1334217,3754613,,763NTS,"$2,200.00 ",ACH *6989,Not Started,a134P00000GIyRtQAL,0014P00003p5vnkQAA,200387,
05/02/23,05/02/23,SP,Diamond Freight Systems Inc,785260,2109637,,130254D,$525.00 ,Check,Not Started,a134P00000GIyRoQAL,0014P00003i1dRmQAI,200387,
05/02/23,05/02/23,SP,Diamond Freight Systems Inc,785260,2109637,,130242D,$800.00 ,Check,Not Started,a134P00000GIyRjQAL,0014P00003i1dRmQAI,200387,
,SDQP Total,,,,,,,"$62,966.00 ",,,,,,
,SP Total,,,,,,,"$223,457.90 ",,,,,,
,Total,,,,,,,"$286,423.90 ",,,,,,
